date,matchup,team,starter,strikeouts
2026-08-04,Los Angeles Angels @ Baltimore Orioles,Los Angeles Angels,Grayson Rodriguez,6
2026-08-04,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Cade Povich,7
2026-08-04,New York Mets @ Cleveland Guardians,New York Mets,Sean Manaea,7
2026-08-04,New York Mets @ Cleveland Guardians,Cleveland Guardians,Joey Cantillo,5
2026-08-04,Athletics @ Cincinnati Reds,Athletics,J.T. Ginn,5
2026-08-04,Athletics @ Cincinnati Reds,Cincinnati Reds,Brady Singer,6
2026-08-04,Washington Nationals @ Philadelphia Phillies,Washington Nationals,Carson Palmquist,0
2026-08-04,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Jesús Luzardo,7
2026-08-04,St. Louis Cardinals @ New York Yankees,St. Louis Cardinals,Hunter Dobbins,4
2026-08-04,St. Louis Cardinals @ New York Yankees,New York Yankees,Ryan Weathers,6
2026-08-04,Chicago White Sox @ Boston Red Sox,Chicago White Sox,Davis Martin,1
2026-08-04,Chicago White Sox @ Boston Red Sox,Boston Red Sox,Patrick Sandoval,5
2026-08-04,Miami Marlins @ Atlanta Braves,Miami Marlins,Ryan Gusto,5
2026-08-04,Miami Marlins @ Atlanta Braves,Atlanta Braves,Grant Holmes,5
2026-08-04,Minnesota Twins @ Kansas City Royals,Minnesota Twins,Joe Ryan,3
2026-08-04,Minnesota Twins @ Kansas City Royals,Kansas City Royals,Randy Dobnak,1
2026-08-04,Pittsburgh Pirates @ Milwaukee Brewers,Pittsburgh Pirates,Jared Jones,4
2026-08-04,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Logan Henderson,8
2026-08-04,Los Angeles Dodgers @ Chicago Cubs,Los Angeles Dodgers,Tarik Skubal,6
2026-08-04,Los Angeles Dodgers @ Chicago Cubs,Chicago Cubs,Javier Assad,3
2026-08-04,San Francisco Giants @ Texas Rangers,San Francisco Giants,Blade Tidwell,3
2026-08-04,San Francisco Giants @ Texas Rangers,Texas Rangers,MacKenzie Gore,4
2026-08-04,Toronto Blue Jays @ Houston Astros,Toronto Blue Jays,Trey Yesavage,0
2026-08-04,Toronto Blue Jays @ Houston Astros,Houston Astros,Hayden Wesneski,4
2026-08-04,Tampa Bay Rays @ Colorado Rockies,Tampa Bay Rays,Freddy Peralta,3
2026-08-04,Tampa Bay Rays @ Colorado Rockies,Colorado Rockies,Gabriel Hughes,7
2026-08-04,San Diego Padres @ Arizona Diamondbacks,San Diego Padres,Randy Vásquez,1
2026-08-04,San Diego Padres @ Arizona Diamondbacks,Arizona Diamondbacks,Eduardo Rodriguez,4
2026-08-04,Detroit Tigers @ Seattle Mariners,Detroit Tigers,Troy Melton,4
2026-08-04,Detroit Tigers @ Seattle Mariners,Seattle Mariners,Emerson Hancock,6
2026-08-06,Los Angeles Angels @ Baltimore Orioles,Los Angeles Angels,Ryan Johnson,1
2026-08-06,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Brandon Young,4
2026-08-06,Athletics @ Cincinnati Reds,Athletics,Mason Barnett,7
2026-08-06,Athletics @ Cincinnati Reds,Cincinnati Reds,Andrew Abbott,4
2026-08-06,New York Mets @ Cleveland Guardians,New York Mets,Nolan McLean,8
2026-08-06,New York Mets @ Cleveland Guardians,Cleveland Guardians,Foster Griffin,6
2026-08-06,Pittsburgh Pirates @ Milwaukee Brewers,Pittsburgh Pirates,Braxton Ashcraft,5
2026-08-06,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Dustin May,5
2026-08-06,Toronto Blue Jays @ Chicago Cubs,Toronto Blue Jays,Dylan Cease,10
2026-08-06,Toronto Blue Jays @ Chicago Cubs,Chicago Cubs,David Peterson,3
2026-08-06,Detroit Tigers @ Seattle Mariners,Detroit Tigers,Framber Valdez,5
2026-08-06,Detroit Tigers @ Seattle Mariners,Seattle Mariners,Bryce Miller,5
2026-08-06,Washington Nationals @ Philadelphia Phillies,Washington Nationals,Miles Mikolas,1
2026-08-06,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Cristopher Sánchez,6
2026-08-06,Chicago White Sox @ Boston Red Sox,Chicago White Sox,Luis Castillo,5
2026-08-06,Chicago White Sox @ Boston Red Sox,Boston Red Sox,Ranger Suarez,3
2026-08-06,Miami Marlins @ Atlanta Braves,Miami Marlins,Janson Junk,1
2026-08-06,Miami Marlins @ Atlanta Braves,Atlanta Braves,Martín Pérez,3
2026-08-06,Minnesota Twins @ Kansas City Royals,Minnesota Twins,Bailey Ober,0
2026-08-06,Minnesota Twins @ Kansas City Royals,Kansas City Royals,Michael Wacha,1
2026-08-06,San Diego Padres @ Arizona Diamondbacks,San Diego Padres,Walker Buehler,3
2026-08-06,San Diego Padres @ Arizona Diamondbacks,Arizona Diamondbacks,Kohl Drake,1
2026-08-07,New York Mets @ Pittsburgh Pirates,New York Mets,Zac Thornton,3
2026-08-07,New York Mets @ Pittsburgh Pirates,Pittsburgh Pirates,Carmen Mlodzinski,1
2026-08-07,Toronto Blue Jays @ Philadelphia Phillies,Toronto Blue Jays,José Soriano,3
2026-08-07,Toronto Blue Jays @ Philadelphia Phillies,Philadelphia Phillies,Zack Wheeler,6
2026-08-07,Cincinnati Reds @ Washington Nationals,Cincinnati Reds,Chase Petty,1
2026-08-07,Cincinnati Reds @ Washington Nationals,Washington Nationals,Cade Cavalli,8
2026-08-07,Atlanta Braves @ New York Yankees,Atlanta Braves,Tyler Mahle,9
2026-08-07,Atlanta Braves @ New York Yankees,New York Yankees,Max Fried,7
2026-08-07,Athletics @ Boston Red Sox,Athletics,Jack Perkins,3
2026-08-07,Athletics @ Boston Red Sox,Boston Red Sox,Payton Tolle,14
2026-08-07,Los Angeles Angels @ Miami Marlins,Los Angeles Angels,George Klassen,3
2026-08-07,Los Angeles Angels @ Miami Marlins,Miami Marlins,Tyler Phillips,4
2026-08-07,Cleveland Guardians @ Chicago White Sox,Cleveland Guardians,Parker Messick,8
2026-08-07,Cleveland Guardians @ Chicago White Sox,Chicago White Sox,Noah Schultz,1
2026-08-07,Minnesota Twins @ Milwaukee Brewers,Minnesota Twins,Zebby Matthews,4
2026-08-07,Minnesota Twins @ Milwaukee Brewers,Milwaukee Brewers,Shane Drohan,4
2026-08-07,Chicago Cubs @ Kansas City Royals,Chicago Cubs,Kevin Gausman,4
2026-08-07,Chicago Cubs @ Kansas City Royals,Kansas City Royals,Daniel Lynch IV,2
2026-08-07,Colorado Rockies @ St. Louis Cardinals,Colorado Rockies,Ryan Feltner,2
2026-08-07,Colorado Rockies @ St. Louis Cardinals,St. Louis Cardinals,Kyle Leahy,8
2026-08-07,Baltimore Orioles @ Texas Rangers,Baltimore Orioles,Shane Baz,9
2026-08-07,Baltimore Orioles @ Texas Rangers,Texas Rangers,Nathan Eovaldi,2
2026-08-07,Los Angeles Dodgers @ Arizona Diamondbacks,Los Angeles Dodgers,Roki Sasaki,5
2026-08-07,Los Angeles Dodgers @ Arizona Diamondbacks,Arizona Diamondbacks,Merrill Kelly,4
2026-08-07,Houston Astros @ San Diego Padres,Houston Astros,Ronel Blanco,1
2026-08-07,Houston Astros @ San Diego Padres,San Diego Padres,Robbie Ray,2
2026-08-07,Tampa Bay Rays @ Seattle Mariners,Tampa Bay Rays,Drew Rasmussen,8
2026-08-07,Tampa Bay Rays @ Seattle Mariners,Seattle Mariners,Logan Gilbert,6
2026-08-07,Detroit Tigers @ San Francisco Giants,Detroit Tigers,Keider Montero,5
2026-08-07,Detroit Tigers @ San Francisco Giants,San Francisco Giants,JT Brubaker,1
2026-08-08,Atlanta Braves @ New York Yankees,Atlanta Braves,Chris Sale,8
2026-08-08,Atlanta Braves @ New York Yankees,New York Yankees,Gerrit Cole,9
2026-08-08,Athletics @ Boston Red Sox,Athletics,Gage Jump,11
2026-08-08,Athletics @ Boston Red Sox,Boston Red Sox,Jake Bennett,5
2026-08-08,Los Angeles Angels @ Miami Marlins,Los Angeles Angels,Walbert Ureña,2
2026-08-08,Los Angeles Angels @ Miami Marlins,Miami Marlins,Sandy Alcantara,8
2026-08-08,Toronto Blue Jays @ Philadelphia Phillies,Toronto Blue Jays,Max Scherzer,4
2026-08-08,Toronto Blue Jays @ Philadelphia Phillies,Philadelphia Phillies,Aaron Nola,8
2026-08-08,New York Mets @ Pittsburgh Pirates,New York Mets,Robert Stock,4
2026-08-08,New York Mets @ Pittsburgh Pirates,Pittsburgh Pirates,Bubba Chandler,5
2026-08-08,Cincinnati Reds @ Washington Nationals,Cincinnati Reds,Chase Burns,6
2026-08-08,Cincinnati Reds @ Washington Nationals,Washington Nationals,Andrew Alvarez,2
2026-08-08,Chicago Cubs @ Kansas City Royals,Chicago Cubs,Clay Holmes,1
2026-08-08,Chicago Cubs @ Kansas City Royals,Kansas City Royals,Seth Lugo,5
2026-08-08,Minnesota Twins @ Milwaukee Brewers,Minnesota Twins,Taj Bradley,7
2026-08-08,Minnesota Twins @ Milwaukee Brewers,Milwaukee Brewers,Robert Gasser,3
2026-08-08,Houston Astros @ San Diego Padres,Houston Astros,Peter Lambert,3
2026-08-08,Houston Astros @ San Diego Padres,San Diego Padres,Michael King,6
2026-08-08,Detroit Tigers @ San Francisco Giants,Detroit Tigers,Jackson Jobe,4
2026-08-08,Detroit Tigers @ San Francisco Giants,San Francisco Giants,Landen Roupp,3
2026-08-08,Colorado Rockies @ St. Louis Cardinals,Colorado Rockies,Kyle Freeland,3
2026-08-08,Colorado Rockies @ St. Louis Cardinals,St. Louis Cardinals,Matthew Liberatore,3
2026-08-08,Baltimore Orioles @ Texas Rangers,Baltimore Orioles,Kyle Bradish,4
2026-08-08,Baltimore Orioles @ Texas Rangers,Texas Rangers,Jacob deGrom,9
2026-08-08,Cleveland Guardians @ Chicago White Sox,Cleveland Guardians,Gavin Williams,7
2026-08-08,Cleveland Guardians @ Chicago White Sox,Chicago White Sox,Anthony Kay,4
2026-08-08,Los Angeles Dodgers @ Arizona Diamondbacks,Los Angeles Dodgers,Yoshinobu Yamamoto,6
2026-08-08,Los Angeles Dodgers @ Arizona Diamondbacks,Arizona Diamondbacks,Brandon Pfaadt,2
2026-08-08,Tampa Bay Rays @ Seattle Mariners,Tampa Bay Rays,Casey Legumina,1
2026-08-08,Tampa Bay Rays @ Seattle Mariners,Seattle Mariners,George Kirby,2
2026-08-09,Cincinnati Reds @ Washington Nationals,Cincinnati Reds,Brady Singer,3
2026-08-09,Cincinnati Reds @ Washington Nationals,Washington Nationals,Brad Lord,4
2026-08-09,Athletics @ Boston Red Sox,Athletics,J.T. Ginn,2
2026-08-09,Athletics @ Boston Red Sox,Boston Red Sox,Erik Miller,2
2026-08-09,New York Mets @ Pittsburgh Pirates,New York Mets,Sean Manaea,11
2026-08-09,New York Mets @ Pittsburgh Pirates,Pittsburgh Pirates,Jared Jones,3
2026-08-09,Toronto Blue Jays @ Philadelphia Phillies,Toronto Blue Jays,Shane Bieber,4
2026-08-09,Toronto Blue Jays @ Philadelphia Phillies,Philadelphia Phillies,Jesús Luzardo,12
2026-08-09,Atlanta Braves @ New York Yankees,Atlanta Braves,Grant Holmes,2
2026-08-09,Atlanta Braves @ New York Yankees,New York Yankees,Cam Schlittler,11
2026-08-09,Los Angeles Angels @ Miami Marlins,Los Angeles Angels,Grayson Rodriguez,8
2026-08-09,Los Angeles Angels @ Miami Marlins,Miami Marlins,Ryan Gusto,4
2026-08-09,Chicago Cubs @ Kansas City Royals,Chicago Cubs,Matthew Boyd,3
2026-08-09,Chicago Cubs @ Kansas City Royals,Kansas City Royals,Randy Dobnak,4
2026-08-09,Cleveland Guardians @ Chicago White Sox,Cleveland Guardians,Joey Cantillo,3
2026-08-09,Cleveland Guardians @ Chicago White Sox,Chicago White Sox,Davis Martin,1
2026-08-09,Minnesota Twins @ Milwaukee Brewers,Minnesota Twins,Connor Prielipp,7
2026-08-09,Minnesota Twins @ Milwaukee Brewers,Milwaukee Brewers,Jacob Misiorowski,9
2026-08-09,Colorado Rockies @ St. Louis Cardinals,Colorado Rockies,Michael Lorenzen,1
2026-08-09,Colorado Rockies @ St. Louis Cardinals,St. Louis Cardinals,Michael McGreevy,4
2026-08-09,Baltimore Orioles @ Texas Rangers,Baltimore Orioles,Cade Povich,2
2026-08-09,Baltimore Orioles @ Texas Rangers,Texas Rangers,Kumar Rocker,5
2026-08-09,Detroit Tigers @ San Francisco Giants,Detroit Tigers,Troy Melton,5
2026-08-09,Detroit Tigers @ San Francisco Giants,San Francisco Giants,Logan Webb,2
2026-08-09,Los Angeles Dodgers @ Arizona Diamondbacks,Los Angeles Dodgers,Justin Wrobleski,3
2026-08-09,Los Angeles Dodgers @ Arizona Diamondbacks,Arizona Diamondbacks,Eduardo Rodriguez,9
2026-08-09,Tampa Bay Rays @ Seattle Mariners,Tampa Bay Rays,Ian Seymour,7
2026-08-09,Tampa Bay Rays @ Seattle Mariners,Seattle Mariners,Emerson Hancock,3
2026-08-09,Houston Astros @ San Diego Padres,Houston Astros,Cristian Javier,2
2026-08-09,Houston Astros @ San Diego Padres,San Diego Padres,Randy Vásquez,1
2026-08-26,Tampa Bay Rays @ Detroit Tigers,Tampa Bay Rays,Freddy Peralta,4
2026-08-26,Tampa Bay Rays @ Detroit Tigers,Detroit Tigers,Troy Melton,4
2026-08-26,Chicago Cubs @ Arizona Diamondbacks,Chicago Cubs,Matthew Boyd,5
2026-08-26,Chicago Cubs @ Arizona Diamondbacks,Arizona Diamondbacks,Eduardo Rodriguez,9
2026-08-26,Cincinnati Reds @ San Francisco Giants,Cincinnati Reds,Nick Lodolo,5
2026-08-26,Cincinnati Reds @ San Francisco Giants,San Francisco Giants,Logan Webb,6
2026-08-26,Cleveland Guardians @ Los Angeles Angels,Cleveland Guardians,Joey Cantillo,1
2026-08-26,Cleveland Guardians @ Los Angeles Angels,Los Angeles Angels,Grayson Rodriguez,4
2026-08-26,Pittsburgh Pirates @ San Diego Padres,Pittsburgh Pirates,Bubba Chandler,3
2026-08-26,Pittsburgh Pirates @ San Diego Padres,San Diego Padres,Randy Vásquez,2
2026-08-26,Philadelphia Phillies @ Seattle Mariners,Philadelphia Phillies,Jesús Luzardo,9
2026-08-26,Philadelphia Phillies @ Seattle Mariners,Seattle Mariners,Bryan Woo,5
2026-08-26,Boston Red Sox @ Miami Marlins,Boston Red Sox,Sonny Gray,5
2026-08-26,Boston Red Sox @ Miami Marlins,Miami Marlins,Ryan Gusto,2
2026-08-26,Colorado Rockies @ Washington Nationals,Colorado Rockies,Tanner Gordon,5
2026-08-26,Colorado Rockies @ Washington Nationals,Washington Nationals,Matt Waldron,1
2026-08-26,Houston Astros @ New York Yankees,Houston Astros,Peter Lambert,5
2026-08-26,Houston Astros @ New York Yankees,New York Yankees,Elmer Rodríguez,6
2026-08-26,Kansas City Royals @ Toronto Blue Jays,Kansas City Royals,Randy Dobnak,5
2026-08-26,Kansas City Royals @ Toronto Blue Jays,Toronto Blue Jays,Spencer Miles,1
2026-08-26,Milwaukee Brewers @ New York Mets,Milwaukee Brewers,Dustin May,0
2026-08-26,Milwaukee Brewers @ New York Mets,New York Mets,Robert Stock,2
2026-08-26,Los Angeles Dodgers @ Atlanta Braves,Los Angeles Dodgers,Roki Sasaki,3
2026-08-26,Los Angeles Dodgers @ Atlanta Braves,Atlanta Braves,AJ Smith-Shawver,3
2026-08-26,Texas Rangers @ Chicago White Sox,Texas Rangers,MacKenzie Gore,4
2026-08-26,Texas Rangers @ Chicago White Sox,Chicago White Sox,Sean Burke,3
2026-08-26,Baltimore Orioles @ St. Louis Cardinals,Baltimore Orioles,Kyle Bradish,4
2026-08-26,Baltimore Orioles @ St. Louis Cardinals,St. Louis Cardinals,Michael McGreevy,3
2026-08-26,Minnesota Twins @ Athletics,Minnesota Twins,Connor Prielipp,5
2026-08-26,Minnesota Twins @ Athletics,Athletics,J.T. Ginn,3
2026-08-10,Boston Red Sox @ Toronto Blue Jays,Boston Red Sox,Sonny Gray,4
2026-08-10,Boston Red Sox @ Toronto Blue Jays,Toronto Blue Jays,Jameson Taillon,3
2026-08-10,New York Mets @ Atlanta Braves,New York Mets,Christian Scott,6
2026-08-10,New York Mets @ Atlanta Braves,Atlanta Braves,Bryce Elder,4
2026-08-10,Baltimore Orioles @ Minnesota Twins,Baltimore Orioles,Trevor Rogers,4
2026-08-10,Baltimore Orioles @ Minnesota Twins,Minnesota Twins,Dean Kremer,7
2026-08-10,Philadelphia Phillies @ St. Louis Cardinals,Philadelphia Phillies,Andrew Painter,6
2026-08-10,Philadelphia Phillies @ St. Louis Cardinals,St. Louis Cardinals,Hunter Dobbins,6
2026-08-10,Texas Rangers @ Los Angeles Angels,Texas Rangers,MacKenzie Gore,9
2026-08-10,Texas Rangers @ Los Angeles Angels,Los Angeles Angels,Reid Detmers,6
2026-08-10,Colorado Rockies @ Arizona Diamondbacks,Colorado Rockies,Gabriel Hughes,3
2026-08-10,Colorado Rockies @ Arizona Diamondbacks,Arizona Diamondbacks,Michael Soroka,4
2026-08-10,Tampa Bay Rays @ Athletics,Tampa Bay Rays,Freddy Peralta,5
2026-08-10,Tampa Bay Rays @ Athletics,Athletics,Jacob Lopez,5
2026-08-10,Milwaukee Brewers @ San Diego Padres,Milwaukee Brewers,Logan Henderson,7
2026-08-10,Milwaukee Brewers @ San Diego Padres,San Diego Padres,Casey Mize,6
2026-08-10,Houston Astros @ San Francisco Giants,Houston Astros,Hayden Wesneski,4
2026-08-10,Houston Astros @ San Francisco Giants,San Francisco Giants,Blade Tidwell,6
2026-08-10,Kansas City Royals @ Los Angeles Dodgers,Kansas City Royals,Noah Cameron,2
2026-08-10,Kansas City Royals @ Los Angeles Dodgers,Los Angeles Dodgers,Tarik Skubal,6
2026-08-11,Cleveland Guardians @ Detroit Tigers,Cleveland Guardians,Tanner Bibee,4
2026-08-11,Cleveland Guardians @ Detroit Tigers,Detroit Tigers,Drew Anderson,4
2026-08-11,Pittsburgh Pirates @ Miami Marlins,Pittsburgh Pirates,Paul Skenes,4
2026-08-11,Pittsburgh Pirates @ Miami Marlins,Miami Marlins,Eury Pérez,7
2026-08-11,Chicago Cubs @ Washington Nationals,Chicago Cubs,Shota Imanaga,5
2026-08-11,Chicago Cubs @ Washington Nationals,Washington Nationals,Jake Irvin,4
2026-08-11,Seattle Mariners @ New York Yankees,Seattle Mariners,Bryan Woo,5
2026-08-11,Seattle Mariners @ New York Yankees,New York Yankees,Ryan Weathers,4
2026-08-11,Boston Red Sox @ Toronto Blue Jays,Boston Red Sox,Patrick Sandoval,4
2026-08-11,Boston Red Sox @ Toronto Blue Jays,Toronto Blue Jays,Dylan Cease,7
2026-08-11,New York Mets @ Atlanta Braves,New York Mets,Nolan McLean,3
2026-08-11,New York Mets @ Atlanta Braves,Atlanta Braves,Martín Pérez,2
2026-08-11,Baltimore Orioles @ Minnesota Twins,Baltimore Orioles,Brandon Young,4
2026-08-11,Baltimore Orioles @ Minnesota Twins,Minnesota Twins,Bailey Ober,4
2026-08-11,Cincinnati Reds @ Chicago White Sox,Cincinnati Reds,Nick Lodolo,5
2026-08-11,Cincinnati Reds @ Chicago White Sox,Chicago White Sox,Sean Burke,8
2026-08-11,Philadelphia Phillies @ St. Louis Cardinals,Philadelphia Phillies,Cristopher Sánchez,7
2026-08-11,Philadelphia Phillies @ St. Louis Cardinals,St. Louis Cardinals,Andre Pallante,2
2026-08-11,Texas Rangers @ Los Angeles Angels,Texas Rangers,Cody Bradford,1
2026-08-11,Texas Rangers @ Los Angeles Angels,Los Angeles Angels,Ryan Johnson,5
2026-08-11,Colorado Rockies @ Arizona Diamondbacks,Colorado Rockies,Tomoyuki Sugano,5
2026-08-11,Colorado Rockies @ Arizona Diamondbacks,Arizona Diamondbacks,Mitch Bratt,4
2026-08-11,Tampa Bay Rays @ Athletics,Tampa Bay Rays,Nick Martinez,5
2026-08-11,Tampa Bay Rays @ Athletics,Athletics,Mason Barnett,0
2026-08-11,Milwaukee Brewers @ San Diego Padres,Milwaukee Brewers,Kyle Harrison,3
2026-08-11,Milwaukee Brewers @ San Diego Padres,San Diego Padres,Walker Buehler,5
2026-08-11,Houston Astros @ San Francisco Giants,Houston Astros,Hunter Brown,4
2026-08-11,Houston Astros @ San Francisco Giants,San Francisco Giants,Carson Whisenhunt,2
2026-08-11,Kansas City Royals @ Los Angeles Dodgers,Kansas City Royals,Michael Wacha,5
2026-08-11,Kansas City Royals @ Los Angeles Dodgers,Los Angeles Dodgers,Blake Snell,10
2026-08-12,Baltimore Orioles @ Minnesota Twins,Baltimore Orioles,Shane Baz,2
2026-08-12,Baltimore Orioles @ Minnesota Twins,Minnesota Twins,Zebby Matthews,4
2026-08-12,Philadelphia Phillies @ St. Louis Cardinals,Philadelphia Phillies,Zack Wheeler,5
2026-08-12,Philadelphia Phillies @ St. Louis Cardinals,St. Louis Cardinals,Kyle Leahy,6
2026-08-12,Tampa Bay Rays @ Athletics,Tampa Bay Rays,Drew Rasmussen,3
2026-08-12,Tampa Bay Rays @ Athletics,Athletics,Jack Perkins,2
2026-08-12,Colorado Rockies @ Arizona Diamondbacks,Colorado Rockies,Ryan Feltner,2
2026-08-12,Colorado Rockies @ Arizona Diamondbacks,Arizona Diamondbacks,Merrill Kelly,2
2026-08-12,Houston Astros @ San Francisco Giants,Houston Astros,Bryan King,1
2026-08-12,Houston Astros @ San Francisco Giants,San Francisco Giants,Adrian Houser,5
2026-08-12,Milwaukee Brewers @ San Diego Padres,Milwaukee Brewers,Dustin May,6
2026-08-12,Milwaukee Brewers @ San Diego Padres,San Diego Padres,Robbie Ray,4
2026-08-12,Cleveland Guardians @ Detroit Tigers,Cleveland Guardians,Foster Griffin,3
2026-08-12,Cleveland Guardians @ Detroit Tigers,Detroit Tigers,Framber Valdez,3
2026-08-12,Pittsburgh Pirates @ Miami Marlins,Pittsburgh Pirates,Carmen Mlodzinski,1
2026-08-12,Pittsburgh Pirates @ Miami Marlins,Miami Marlins,Janson Junk,2
2026-08-12,Chicago Cubs @ Washington Nationals,Chicago Cubs,David Peterson,6
2026-08-12,Chicago Cubs @ Washington Nationals,Washington Nationals,Jackson Kent,6
2026-08-12,Seattle Mariners @ New York Yankees,Seattle Mariners,Bryce Miller,5
2026-08-12,Seattle Mariners @ New York Yankees,New York Yankees,Will Warren,3
2026-08-12,Boston Red Sox @ Toronto Blue Jays,Boston Red Sox,Ranger Suarez,2
2026-08-12,Boston Red Sox @ Toronto Blue Jays,Toronto Blue Jays,José Soriano,4
2026-08-12,New York Mets @ Atlanta Braves,New York Mets,Zac Thornton,2
2026-08-12,New York Mets @ Atlanta Braves,Atlanta Braves,Tyler Mahle,7
2026-08-12,Cincinnati Reds @ Chicago White Sox,Cincinnati Reds,Rhett Lowder,4
2026-08-12,Cincinnati Reds @ Chicago White Sox,Chicago White Sox,Luis Castillo,10
2026-08-12,Kansas City Royals @ Los Angeles Dodgers,Kansas City Royals,Daniel Lynch IV,3
2026-08-12,Kansas City Royals @ Los Angeles Dodgers,Los Angeles Dodgers,Eric Lauer,6
2026-08-12,Texas Rangers @ Los Angeles Angels,Texas Rangers,Cal Quantrill,6
2026-08-12,Texas Rangers @ Los Angeles Angels,Los Angeles Angels,George Klassen,5
2026-08-13,Cleveland Guardians @ Detroit Tigers,Cleveland Guardians,Parker Messick,6
2026-08-13,Cleveland Guardians @ Detroit Tigers,Detroit Tigers,Keider Montero,0
2026-08-13,Cincinnati Reds @ Chicago White Sox,Cincinnati Reds,Andrew Abbott,3
2026-08-13,Cincinnati Reds @ Chicago White Sox,Chicago White Sox,Davis Martin,3
2026-08-13,Pittsburgh Pirates @ Miami Marlins,Pittsburgh Pirates,Braxton Ashcraft,10
2026-08-13,Pittsburgh Pirates @ Miami Marlins,Miami Marlins,Tyler Phillips,6
2026-08-13,Seattle Mariners @ New York Yankees,Seattle Mariners,Logan Gilbert,7
2026-08-13,Seattle Mariners @ New York Yankees,New York Yankees,Max Fried,4
2026-08-13,Boston Red Sox @ Toronto Blue Jays,Boston Red Sox,Payton Tolle,4
2026-08-13,Boston Red Sox @ Toronto Blue Jays,Toronto Blue Jays,Max Scherzer,4
2026-08-13,Chicago Cubs @ Washington Nationals,Chicago Cubs,Kevin Gausman,7
2026-08-13,Chicago Cubs @ Washington Nationals,Washington Nationals,Cade Cavalli,10
2026-08-13,Philadelphia Phillies @ Minnesota Twins,Philadelphia Phillies,Aaron Nola,9
2026-08-13,Philadelphia Phillies @ Minnesota Twins,Minnesota Twins,Taj Bradley,3
2026-08-13,Texas Rangers @ Los Angeles Angels,Texas Rangers,Jacob deGrom,3
2026-08-13,Texas Rangers @ Los Angeles Angels,Los Angeles Angels,Walbert Ureña,5
2026-08-13,Milwaukee Brewers @ Los Angeles Dodgers,Milwaukee Brewers,Shane Drohan,5
2026-08-13,Milwaukee Brewers @ Los Angeles Dodgers,Los Angeles Dodgers,Roki Sasaki,2
2026-08-14,St. Louis Cardinals @ Chicago Cubs,St. Louis Cardinals,Matthew Liberatore,6
2026-08-14,St. Louis Cardinals @ Chicago Cubs,Chicago Cubs,Clay Holmes,3
2026-08-14,Miami Marlins @ Cincinnati Reds,Miami Marlins,Sandy Alcantara,2
2026-08-14,Miami Marlins @ Cincinnati Reds,Cincinnati Reds,Chase Burns,8
2026-08-14,Boston Red Sox @ Pittsburgh Pirates,Boston Red Sox,Jake Bennett,6
2026-08-14,Boston Red Sox @ Pittsburgh Pirates,Pittsburgh Pirates,Bubba Chandler,5
2026-08-14,Chicago White Sox @ Detroit Tigers,Chicago White Sox,Sean Newcomb,2
2026-08-14,Chicago White Sox @ Detroit Tigers,Detroit Tigers,Jackson Jobe,4
2026-08-14,Washington Nationals @ New York Mets,Washington Nationals,Andrew Alvarez,4
2026-08-14,Washington Nationals @ New York Mets,New York Mets,Robert Stock,5
2026-08-14,San Diego Padres @ Cleveland Guardians,San Diego Padres,Michael King,4
2026-08-14,San Diego Padres @ Cleveland Guardians,Cleveland Guardians,Gavin Williams,5
2026-08-14,Baltimore Orioles @ Tampa Bay Rays,Baltimore Orioles,Chris Bassitt,3
2026-08-14,Baltimore Orioles @ Tampa Bay Rays,Tampa Bay Rays,Steven Matz,1
2026-08-14,Arizona Diamondbacks @ Atlanta Braves,Arizona Diamondbacks,Brandon Pfaadt,7
2026-08-14,Arizona Diamondbacks @ Atlanta Braves,Atlanta Braves,Chris Sale,9
2026-08-14,New York Yankees @ Toronto Blue Jays,New York Yankees,Gerrit Cole,5
2026-08-14,New York Yankees @ Toronto Blue Jays,Toronto Blue Jays,Shane Bieber,5
2026-08-14,Seattle Mariners @ Houston Astros,Seattle Mariners,George Kirby,2
2026-08-14,Seattle Mariners @ Houston Astros,Houston Astros,Peter Lambert,6
2026-08-14,Kansas City Royals @ Los Angeles Angels,Kansas City Royals,Seth Lugo,4
2026-08-14,Kansas City Royals @ Los Angeles Angels,Los Angeles Angels,Grayson Rodriguez,5
2026-08-14,Texas Rangers @ Athletics,Texas Rangers,Kumar Rocker,3
2026-08-14,Texas Rangers @ Athletics,Athletics,Gage Jump,1
2026-08-14,Milwaukee Brewers @ Los Angeles Dodgers,Milwaukee Brewers,Robert Gasser,7
2026-08-14,Milwaukee Brewers @ Los Angeles Dodgers,Los Angeles Dodgers,Yoshinobu Yamamoto,9
2026-08-14,Colorado Rockies @ San Francisco Giants,Colorado Rockies,Kyle Freeland,2
2026-08-14,Colorado Rockies @ San Francisco Giants,San Francisco Giants,Landen Roupp,5
2026-08-15,Chicago White Sox @ Detroit Tigers,Chicago White Sox,Anthony Kay,4
2026-08-15,Chicago White Sox @ Detroit Tigers,Detroit Tigers,Troy Melton,4
2026-08-15,St. Louis Cardinals @ Chicago Cubs,St. Louis Cardinals,Michael McGreevy,6
